A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),T(730),U(760),V(810),W(860),K(900),L(940),ph,EC,OC,P,K,Ca,Mg,S,Fe,Mn,Cu,Zn,B
1694.11,79.71,800.18,123.87,257.87,1149.11,223.09,272.11,808.98,172.11,242.25,51.99,65.12,53.99,197.11,263.56,110.57,41.09,5.18,0.07,1.58,24.7,109.17,2,0.8,12.42,0.71,9.61,3.94,1.47,0.64
1691.42,162.41,1264.11,280.11,541.99,1392.21,304.76,338.88,1029.88,179.98,268.11,55.68,69.98,59.76,211.87,275.11,113.98,43,6.37,0.1,0.69,5.31,345.6,6.8,2.5,17.35,27,65.14,2.2,0.59,0.43
2589.11,1061.88,3116.11,814.98,1080.11,1750.11,411.7,427.11,1418.11,223.76,328.22,69.08,88.65,74.12,234.11,297.18,115.81,50.21,9.08,0.26,0.48,9.69,376.92,37,9.5,30.76,4.29,4.71,1.32,0.8,0.84
1903.11,817.09,2130.11,551.98,813.11,1164.23,379.99,388.29,996.27,200.98,258.11,59.2,72.71,58.87,171.78,244.41,87.76,40.17,8.9,0.17,0.42,33.45,115.8,13.5,8.3,18.14,13.11,3.05,2.14,0.69,0.77
3030.69,1022.31,2840.33,792.77,963.02,1796.33,463.33,476.54,1231.58,245.78,317.18,72.85,79.53,70.11,239.14,306.36,125.87,53.36,8.42,0.2,0.27,77.08,283.36,5.36,4.54,28.12,4.2,5.35,0.59,0.95,0.6
1297.62,497.2,1146.8,449.87,584.12,1143.12,324.15,324.89,881.64,158.9,216.98,52.97,54.12,51.58,152.74,171.2,77.11,36.52,8.85,0.13,0.98,67.44,172.48,24.6,5.17,7.45,2.1,5.39,0.86,0.32,0.73
1456.36,732.35,1736.64,466.61,768.05,1025.69,347.2,361.05,962.32,190.47,263.81,57.61,75.74,61.25,167.91,242.16,82.78,40.17,5.96,0.13,0.21,14.72,209.44,6.6,3.52,29.8,157.45,50.18,4.34,1.52,1.01
1133.69,619.87,1568.19,418.88,716.88,938.77,255.2,260.19,810.18,131.22,228.18,40.19,70.98,58.12,140.11,210.11,60.88,30.22,6.08,0.14,0.19,43.45,271.04,13.23,4.6,13.24,125.11,40.71,2.52,2.12,0.89
1083.37,444.34,1545.7,355.23,699.23,1052.45,259.87,270.19,760.88,141.55,213.88,43.88,69.87,53.22,147.65,210.88,71.23,29.66,5.6,0.09,0.69,22.42,197.12,5.81,1.63,7.45,41.17,48.71,2.47,2.65,0.97
1904.8,285.97,1645.08,409.32,679.64,1610.41,359.02,398.71,1299.48,219.01,337.71,61.84,80.29,68.5,229.04,282.71,110.57,45.65,6.36,0.12,0.75,17.34,221.76,8.16,2.13,17.38,10.06,11.27,1.65,1.06,0.83
1612.12,280.12,1530.12,370.1,620.98,1510.12,343.12,381.11,1290.11,210.1,340.11,60.11,80.19,70.11,240.11,302.12,120.11,46.98,5.22,0.05,0.67,10.51,160.16,3.19,1.71,6.62,44.73,44.72,5.48,2.93,0.97
1164.05,519.11,1480.19,384.87,688.98,994.76,336.65,353.23,926.12,181.99,229.33,52.1,68.17,54.3,159.11,235.28,81.76,37.43,6.56,0.26,0.44,55.01,219.06,3.3,2.9,22.41,14.23,10.56,1.11,1.52,0.92
1288.08,573.93,1747.59,432.42,733.32,1096.07,340.75,357.03,950.61,186.01,254.57,53.79,68.93,55.61,173.07,246.66,87.89,36.52,7.17,0.4,1.16,39.42,328.59,9.3,3.3,13.79,5.86,47.3,1.46,1.1,0.51
2470.98,600.11,2132.11,490.11,656.11,1480.19,331.12,331.11,1320.11,170.11,330.11,60.19,81.98,71.11,231.11,282.11,101.49,40.18,6.77,0.6,0.22,26.8,316.42,6.5,2.9,43.1,2.08,28.91,1.98,0.69,0.3
2680.11,713.12,2470.11,651.99,880.19,1730.11,431.09,450.98,1380.11,231.98,340.11,71.98,90.11,71.12,240.12,300.98,130.11,51.09,6.68,0.08,1.29,4.38,331.2,19.5,3,7.68,31.67,22.84,6.16,0.42,0.67
1368.75,554.99,1657.02,427.8,755.42,1105.05,352.04,371.09,962.32,191.81,246.36,53.79,68.93,53.99,162.74,226.39,84.48,38.34,6.95,0.08,0.84,11.39,83.16,28.25,6.25,11.94,45.31,24.38,10.01,1.58,0.6
1560.45,850.92,1957.58,570.09,876.19,1106.55,383.75,397.2,993.93,204.74,255.59,59.72,76.5,61.25,166.18,230.89,85.05,42.91,8.4,0.19,0.42,5.78,748.2,62.75,7.75,11.94,18.56,15.04,2.45,1.42,0.43
1769.99,953.12,2111.87,619.77,889.76,1114.22,393.23,398.32,1036.98,204.76,268.11,61.22,76.6,62.98,168.77,248.99,83.34,43.34,6.68,0.26,1.2,2.98,236.4,25.5,2.75,11.94,38.95,22.12,7.6,0.39,0.82
293.11,109.88,717.98,110.87,333.91,762.12,208.19,135.88,947.88,38.38,230.99,43.2,58.32,49.18,152.41,198.22,51.08,21,6.31,0.12,0.9,5.61,200.4,13.75,7,17.91,29.44,27.23,8.29,0.71,1.02
1407.79,552,1676.93,413.94,759.37,1105.8,339.14,357.03,945.93,186.9,253.54,55.06,74.23,58.83,166.18,225.26,84.48,37.43,6.71,0.28,1.095,13.31,300,4.4,3.2,6.9,18.3,21.44,2.51,1.54,0.36
2720.11,910.11,2705.12,756.11,991.12,1630.11,460.98,480.98,1330.18,250.98,310.19,80.11,90.11,71.11,240.11,320.12,140.12,60.99,5.09,0.05,1.152,16.64,204,1.8,1,6.9,57.32,76.3,1.63,0.64,0.51
1661.07,255.08,1335.57,351.11,599.13,1599.18,359.02,386.66,1286.6,204.29,332.58,60.15,78.77,67.69,243.68,318.75,105.46,43.82,8.69,0.31,1.362,9.46,264,17.1,7,17.24,8.2,13.45,1.07,0.29,0.43
2958.69,1072.13,2956.76,756.74,934.6,1628.38,440.72,435.87,1249.14,221.25,317.18,73.28,82.56,71.72,239.38,321,120.2,52.95,,,,,,,,,,,,,
1345.66,622.87,1645.22,471.99,775.23,1060.99,374.61,396.22,998.18,219.28,251.11,57.98,71.09,58.09,162.77,235.98,86.76,42,,,,,,,,,,,,,
966.28,466.31,1353.23,410.98,730.22,1006.98,363.34,378.22,979.11,194.32,253.33,55.98,71.98,58.02,159.2,236.22,81.08,40.19,,,,,,,,,,,,,
970.11,280.11,1020.11,226.77,550.11,910.22,280.11,310.22,890.11,170.11,230.11,50.98,70.11,64.11,160.22,230.22,80.98,40.98,,,,,,,,,,,,,
970.11,290.11,1020.1,226.8,541.11,910.11,280.11,310.11,860.11,170.11,230.22,50.87,70.11,54.34,160.11,230.11,80.11,40.44,,,,,,,,,,,,,
832.7,363.69,1053.93,303.06,659.12,922.37,335.91,356.53,938.9,186.01,249.44,53.79,71.95,51.22,157.57,232.02,81.08,38.34,7.06,0.49,0.78,48.35,480.09,22.1,7.1,12,5.22,20.06,1.91,0.44,0.42
2243.09,820.04,2666.16,704.17,970.12,1726.46,446.09,458.46,1492.65,235.52,369.53,70.74,90.89,78.17,266.07,368.31,115.1,50.21,7.8,0.48,0.6,21.9,344.68,20,11.2,15.75,1.69,12.82,10.38,0.73,0.23
